timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634814827,1686,post-seller-product,201,Created,NormalTest 1-14,text,true,,675,124292,55,55,https://market-final-project.herokuapp.com/seller/product,1686,0,0
1671634813020,3506,post-register,201,Created,NormalTest 1-21,text,false,"The operation lasted too long: It took 3,506 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,871,56,56,https://market-final-project.herokuapp.com/auth/register,3506,0,2210
1671634814219,2321,post-register,201,Created,NormalTest 1-33,text,false,"The operation lasted too long: It took 2,321 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,896,56,56,https://market-final-project.herokuapp.com/auth/register,2321,0,1019
1671634814419,2138,post-register,201,Created,NormalTest 1-35,text,false,"The operation lasted too long: It took 2,138 milliseconds, but should not have lasted longer than 2,000 milliseconds.",572,914,56,56,https://market-final-project.herokuapp.com/auth/register,2138,0,1252
1671634814445,2142,post-seller-product,201,Created,NormalTest 1-10,text,false,"The operation lasted too long: It took 2,142 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124256,56,56,https://market-final-project.herokuapp.com/seller/product,2142,0,0
1671634815964,754,post login,201,Created,NormalTest 1-34,text,true,,525,388,58,58,https://market-final-project.herokuapp.com/auth/login,754,0,0
1671634815561,1241,post login,201,Created,NormalTest 1-29,text,true,,525,388,58,58,https://market-final-project.herokuapp.com/auth/login,1241,0,0
1671634815166,1654,get-seller-product,200,OK,NormalTest 1-12,text,true,,716,466,59,59,https://market-final-project.herokuapp.com/seller/product,1654,0,0
1671634815019,1821,post-register,201,Created,NormalTest 1-41,text,true,,574,891,59,59,https://market-final-project.herokuapp.com/auth/register,1821,0,845
1671634815978,870,get-seller-product-id,200,OK,NormalTest 1-7,text,true,,714,472,59,59,https://market-final-project.herokuapp.com/seller/product/41115,870,0,0
1671634816013,869,get-seller-product,200,OK,NormalTest 1-9,text,true,,716,466,59,59,https://market-final-project.herokuapp.com/seller/product,869,0,0
1671634814918,2002,post-register,201,Created,NormalTest 1-40,text,false,"The operation lasted too long: It took 2,002 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,881,60,60,https://market-final-project.herokuapp.com/auth/register,2002,0,1293
1671634816029,964,get-seller-product-id,200,OK,NormalTest 1-4,text,true,,714,472,60,60,https://market-final-project.herokuapp.com/seller/product/41112,964,0,0
1671634816013,980,get-seller-product-id,200,OK,NormalTest 1-5,text,true,,714,472,60,60,https://market-final-project.herokuapp.com/seller/product/41114,980,0,0
1671634815330,1717,post-register,201,Created,NormalTest 1-44,text,true,,574,866,61,61,https://market-final-project.herokuapp.com/auth/register,1717,0,946
1671634815698,1383,post login,201,Created,NormalTest 1-30,text,true,,525,388,61,61,https://market-final-project.herokuapp.com/auth/login,1383,0,0
1671634815355,1740,post-seller-product,201,Created,NormalTest 1-22,text,true,,675,124283,61,61,https://market-final-project.herokuapp.com/seller/product,1740,0,0
1671634816557,558,post login,201,Created,NormalTest 1-35,text,true,,520,384,61,61,https://market-final-project.herokuapp.com/auth/login,558,0,0
1671634815419,1773,post-register,201,Created,NormalTest 1-45,text,true,,574,886,62,62,https://market-final-project.herokuapp.com/auth/register,1773,0,1062
1671634815518,1679,post-register,201,Created,NormalTest 1-46,text,true,,574,876,62,62,https://market-final-project.herokuapp.com/auth/register,1679,0,836
1671634815568,1718,post-seller-product,201,Created,NormalTest 1-18,text,true,,675,124319,63,63,https://market-final-project.herokuapp.com/seller/product,1718,0,0
1671634816513,787,get-seller-product,200,OK,NormalTest 1-14,text,true,,716,466,63,63,https://market-final-project.herokuapp.com/seller/product,787,0,0
1671634816500,868,get-seller-product,200,OK,NormalTest 1-16,text,true,,716,466,64,64,https://market-final-project.herokuapp.com/seller/product,868,0,0
1671634816840,595,post login,201,Created,NormalTest 1-41,text,true,,525,388,65,65,https://market-final-project.herokuapp.com/auth/login,595,0,0
1671634816587,859,get-seller-product,200,OK,NormalTest 1-10,text,true,,716,466,65,65,https://market-final-project.herokuapp.com/seller/product,859,0,0
